resume_text,jd_text,years_exp,semantic_similarity,numeric_score,detailed_ai_suggestion,,,,,,
"Biotech researcher with 4 years of wet lab experience in CRISPR, gene editing, and PCR techniques. Published in peer-reviewed journals.",Hiring AI researcher with strong background in NLP and deep learning. PhD preferred. Experience with LLMs is a plus.,4,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Full-stack developer with 8 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",8,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Technical writer with 1 years of experience in documentation for APIs, SDKs, and cloud services. Familiar with Markdown, Git, and Confluence.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",1,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Blockchain developer with 6 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",6,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Customer support specialist with 7 years of experience in live chat, ticketing systems, and CRM platforms like Zendesk and Freshdesk.",Need blockchain developer with Solidity and Ethereum experience. Should understand gas optimization and smart contract security.,7,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI prompt engineer with 3 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.",Hiring AI researcher with strong background in NLP and deep learning. PhD preferred. Experience with LLMs is a plus.,3,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"UI/UX designer with 3 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,3,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
Game developer with 1 years' experience in Unity and C#. Built multiplayer features and integrated ads and in-app purchases.,Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,1,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
Game developer with 3 years' experience in Unity and C#. Built multiplayer features and integrated ads and in-app purchases.,"System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",3,0.72,72,"Moderate fit (Score: 72%, Similarity: 0.72). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"AI prompt engineer with 5 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.",Legal associate needed for reviewing contracts and compliance support. Must know corporate law. 1–3 years of experience.,5,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Customer support specialist with 3 years of experience in live chat, ticketing systems, and CRM platforms like Zendesk and Freshdesk.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,3,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Marketing analyst with 5 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",5,0.72,72,"Moderate fit (Score: 72%, Similarity: 0.72). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"DevOps engineer with 6 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.","Hiring a video editor with a portfolio in Premiere, Resolve, and short-form content editing. Social media content a bonus.",6,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI prompt engineer with 3 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","We need a Unity game developer with experience in C#, multiplayer systems, and monetization integrations.",3,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"UI/UX designer with 10 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,10,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Blockchain developer with 9 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,9,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 9 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 7 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.",Need blockchain developer with Solidity and Ethereum experience. Should understand gas optimization and smart contract security.,7,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Video editor with 4 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",4,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"DevOps engineer with 5 years' experience in AWS, Docker, Jenkins. Familiar with CI/CD and scripting. No Kubernetes experience.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,5,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Business analyst with 2 years of experience in requirement gathering, stakeholder communication, and JIRA. Strong in Agile methodology and wireframing.",Looking for a biotech research assistant skilled in CRISPR and PCR techniques. Publication experience preferred.,2,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 2 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"AI prompt engineer with 10 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",10,0.65,65,"Low fit (Score: 65%, Similarity: 0.65). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Video editor with 2 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.",Hiring AI researcher with strong background in NLP and deep learning. PhD preferred. Experience with LLMs is a plus.,2,0.66,66,"Low fit (Score: 66%, Similarity: 0.66). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"System administrator with 4 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","Hiring an ML engineer for model development and deployment. 4+ years of TensorFlow, Flask, NLP preferred.",4,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"System administrator with 5 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.",Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,5,0.83,83,"Good fit (Score: 83%, Similarity: 0.83). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Software engineer with 1 years' experience in backend development using Python and Flask. Built APIs, integrated PostgreSQL databases, and deployed on cloud. Familiar with Git and Agile.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",1,0.86,86,"Strong fit (Score: 86%, Similarity: 0.86). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Customer support specialist with 5 years of experience in live chat, ticketing systems, and CRM platforms like Zendesk and Freshdesk.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,5,0.85,85,"Strong fit (Score: 85%, Similarity: 0.85). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Full-stack developer with 10 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",10,0.95,95,"Strong fit (Score: 95%, Similarity: 0.95). With 10 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Video editor with 3 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","Looking for a business analyst experienced in Agile teams, wireframing, and stakeholder communication. 2+ years required.",3,0.73,73,"Moderate fit (Score: 73%, Similarity: 0.73). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Full-stack developer with 2 years’ experience in MERN stack, GraphQL APIs, and scalable architecture for web apps.",Customer support executive with 2+ years of experience in chat/ticket support and CRM tools like Freshdesk is required.,2,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Video editor with 9 years of experience in Adobe Premiere, DaVinci Resolve, and After Effects. Worked on YouTube content and short films.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",9,0.72,72,"Moderate fit (Score: 72%, Similarity: 0.72). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Blockchain developer with 4 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",4,0.82,82,"Good fit (Score: 82%, Similarity: 0.82). With 4 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"UI/UX designer with 1 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",1,0.71,71,"Moderate fit (Score: 71%, Similarity: 0.71). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"DevSecOps specialist with 4 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",4,0.79,79,"Good fit (Score: 79%, Similarity: 0.79). With 4 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"DevSecOps specialist with 6 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",6,0.84,84,"Good fit (Score: 84%, Similarity: 0.84). With 6 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"AI researcher with 3 years of hands-on research in LLMs, transformers, and reinforcement learning. Published in IEEE and arXiv.","Hiring full-stack developer (React, Node.js, MongoDB) with experience in building scalable systems and deploying to cloud.",3,0.92,92,"Strong fit (Score: 92%, Similarity: 0.92). With 3 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"UI/UX designer with 7 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",7,0.77,77,"Good fit (Score: 77%, Similarity: 0.77). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"ETL developer with 7 years of experience using SSIS, Informatica, and SQL for large-scale data warehouse pipelines.","QA engineer with 2+ years' experience in Selenium, Postman, automated testing frameworks, and bug tracking tools.",7,0.94,94,"Strong fit (Score: 94%, Similarity: 0.94). With 7 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Marketing analyst with 3 years' experience in Google Analytics, campaign reporting, and market segmentation. Strong Excel and Tableau skills.","Creative designer needed for branding projects, 3+ years using Adobe tools, with portfolio of marketing visuals.",3,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 3 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Machine Learning engineer with 5 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.","HR executive role open for candidates experienced in hiring, onboarding, HRMS tools like SAP/Zoho. 2+ years preferred.",5,0.88,88,"Strong fit (Score: 88%, Similarity: 0.88). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Cybersecurity analyst with 7 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.",Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,7,0.72,72,"Moderate fit (Score: 72%, Similarity: 0.72). With 7 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"DevSecOps specialist with 1 years of experience implementing security policies in CI/CD pipelines. Hands-on with SonarQube, Vault, and AWS IAM.","Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",1,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Blockchain developer with 2 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Hiring ETL developer with SQL expertise and experience in Informatica or SSIS. Must have worked with large datasets.,2,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 2 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"UI/UX designer with 1 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.","Looking for a backend Python developer with 3+ years’ experience. Must have Flask or Django, PostgreSQL, and API experience.",1,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
Data analyst with 9 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,Seeking AI prompt engineer with hands-on experience writing and testing prompts for LLMs. NLP background required.,9,0.67,67,"Low fit (Score: 67%, Similarity: 0.67). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"QA engineer with 6 years’ experience in manual and automated testing using Selenium, Postman, and JUnit. Experience in writing test plans and bug tracking.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",6,0.76,76,"Good fit (Score: 76%, Similarity: 0.76). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Blockchain developer with 6 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.",Need blockchain developer with Solidity and Ethereum experience. Should understand gas optimization and smart contract security.,6,0.69,69,"Low fit (Score: 69%, Similarity: 0.69). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"Machine Learning engineer with 1 years of experience, including TensorFlow, scikit-learn, and deploying models using Flask. Worked on NLP and forecasting.","DevOps engineer with 3+ years' experience. Required: AWS, Docker, CI/CD, Bash, Kubernetes.",1,0.93,93,"Strong fit (Score: 93%, Similarity: 0.93). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"AI prompt engineer with 1 years of experience crafting prompts for GPT models, optimizing LLM output quality, and fine-tuning NLP tasks.","Seeking a data analyst with 3–5 years of experience. Must know SQL, Python or R, and Power BI.",1,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
Data analyst with 5 years’ experience using Excel and Power BI. Built dashboards and performed reporting. Limited SQL exposure.,"Seeking a cybersecurity analyst with 3+ years of experience in threat analysis, SIEM tools, and incident response protocols.",5,0.78,78,"Good fit (Score: 78%, Similarity: 0.78). With 5 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Biotech researcher with 9 years of wet lab experience in CRISPR, gene editing, and PCR techniques. Published in peer-reviewed journals.","Hiring a marketing analyst to track campaign KPIs. Must know Google Analytics, Tableau, and Excel. SEO knowledge is a plus.",9,0.7,70,"Moderate fit (Score: 70%, Similarity: 0.7). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
"Blockchain developer with 8 years’ experience in smart contracts, Solidity, Ethereum, and DApp deployment. Built DeFi apps and crypto wallets.","Looking for a data engineer experienced in Spark, Airflow, and Python for ETL development. Must understand data lakes and pipelines.",8,0.89,89,"Strong fit (Score: 89%, Similarity: 0.89). With 8 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"UI/UX designer with 6 years’ experience in Figma, mobile-first design, prototyping. Limited user research experience.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,6,0.68,68,"Low fit (Score: 68%, Similarity: 0.68). With 6 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Decline due to mismatch in core skill requirements or domain experience.",,,,,,
"System administrator with 1 years of Linux and Windows server management. Skilled in shell scripting, Active Directory, and patching.","Creative designer needed for branding projects, 3+ years using Adobe tools, with portfolio of marketing visuals.",1,0.79,79,"Good fit (Score: 79%, Similarity: 0.79). With 1 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Legal associate with 5 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.","Senior UI/UX designer with 5+ years’ experience. Needs Figma, prototyping, user research, and A/B testing.",5,0.91,91,"Strong fit (Score: 91%, Similarity: 0.91). With 5 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Legal associate with 1 years’ experience in contract review, legal research, and compliance. Skilled in corporate law documentation.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,1,0.87,87,"Strong fit (Score: 87%, Similarity: 0.87). With 1 years of relevant experience, the candidate meets base expectations. Candidate has relevant domain experience and exposure to several core technologies aligned with the job description. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Proceed to final interview with focus on applied knowledge and production impact.",,,,,,
"Graphic designer with 10 years’ experience in Adobe Creative Suite, branding, and visual storytelling for marketing teams.","System admin role with 3+ years' experience in Linux servers, patching, shell scripting, and network troubleshooting.",10,0.8,80,"Good fit (Score: 80%, Similarity: 0.8). With 10 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Minor concerns around lack of exposure to preferred technologies or limited real-world deployment. Recommendation: Schedule an interview to evaluate tool-specific expertise and adaptability.",,,,,,
"Cybersecurity analyst with 9 years' experience in network monitoring, threat detection, and incident response. Skilled in Wireshark, Splunk, and SIEM tools.",Technical writer with 3+ years of experience documenting complex APIs and developer guides. Git and Markdown required.,9,0.74,74,"Moderate fit (Score: 74%, Similarity: 0.74). With 9 years of relevant experience, the candidate meets base expectations. Resume shows potential alignment but lacks clarity or detail on specific tool use or impact. Key gaps include missing technical competencies or lack of role-specific achievements. Recommendation: Consider for alternate or adjacent role; assess learning potential.",,,,,,
